p_val	pct.1	pct.2	p_val_adj	diff
ENST00000274065.8	0.201344569670461	0	0.133	1	-0.00411571650168713
ENST00000538183.6	0.202941502812536	0.153	0	1	0.00315788234606975
ENST00000418655.2	0.204094578289219	0.059	0	1	0.00197895038790602
ENST00000528439.5	0.207320430201276	0	0.107	1	-0.00546679577134338
ENST00000511529.1	0.214857881623805	0.087	0	1	0.00154657929982177
ENST00000398422.2	0.221668116867344	0.053	0.176	1	-0.00750279518215179
ENST00000476366.1	0.230148808072143	0.068	0	1	0.00255530260539612
ENST00000324460.6	0.234530300333454	0.407	0.159	1	-0.0025676472474029
ENST00000379593.1	0.23720531631668	0	0.098	1	-0.00239861289072098
ENST00000276602.10	0.245171620655514	0	0.095	1	-0.00469271521790045
ENST00000543796.5	0.245171620655514	0	0.095	1	-0.0053630527505505
ENST00000643031.1	0.24547874363008	0.134	0	1	0.002872580682462
ENST00000514057.1	0.247162528109943	0.561	0.455	1	-0.0047804994388777
ENST00000588539.1	0.247767508945221	0.157	0	1	0.000274856422130055
ENST00000564109.1	0.251680573376052	0.11	0	1	-0.00268968160650603
ENST00000551286.1	0.264756780584726	0.034	0	1	0.00127144843510192
ENST00000336452.11	0.274612405469722	0.053	0	1	0.000868924878238058
ENST00000323496.5	0.278564917023004	0.089	0	1	-0.000136397423080064
ENST00000396737.6	0.278996110928708	0.047	0	1	0.0012261871456626
ENST00000434005.1	0.282460067105088	0.131	0	1	-0.00134052225394763
ENST00000420712.1	0.283133407664999	0.11	0	1	-0.00167146991982671
ENST00000541679.7	0.284198120814841	0.186	0	1	0.000915638807871078
ENST00000367142.4	0.289978455151938	0.165	0	1	0.00055687449543839
ENST00000391857.8	0.291648515974708	0	0.13	1	-0.00137911518364595
ENST00000593254.1	0.291648515974708	0	0.13	1	0.000229143456305512
ENST00000383564.8	0.294151167275082	0.102	0	1	-0.000482075481939789
ENST00000356936.5	0.305707319706134	0.032	0	1	-0.000816955213132702
ENST00000394934.4	0.305707319706134	0.032	0	1	0.0014813077002196
ENST00000525451.6	0.313378715058919	0.057	0	1	-0.000121463489259037
ENST00000468161.1	0.31452160609119	0.025	0	1	0.00150696300744904
ENST00000489818.5	0.336318514494045	0.038	0	1	-0.000775846970484019
ENST00000352435.8	0.337059108682849	0.216	0	1	0.00444739922687263
ENST00000315377.4	0.340511802433393	0.091	0.34	1	-0.000350415803875762
ENST00000262283.5	0.348196342397952	0.144	0.086	1	-0.00464641048088395
ENST00000513369.2	0.351608453788005	0.133	0	1	-0.000339267407231083
ENST00000632036.1	0.357368566255495	0	0.092	1	-0.00631454040165893
ENST00000470729.5	0.36106996044261	0.057	0	1	0.000451594764030917
ENST00000646370.2	0.36106996044261	0.057	0	1	0.00220424012260429
ENST00000253047.6	0.363006336155875	0.044	0	1	-0.000438904707098758
ENST00000648011.1	0.367359992819141	0.059	0	1	0.0010372178362503
ENST00000498273.1	0.36851614522939	0.248	0.101	1	-0.000721344216858476
ENST00000613141.1	0.373002304933638	0.078	0	1	-0.000297442517100072
ENST00000404824.2	0.377571969198312	0.08	0	1	0.00214597652092204
ENST00000308162.9	0.381017908040004	0	0.121	1	-0.00355313853774489
ENST00000546500.5	0.389904517915244	0.117	0.107	1	-0.0104530277983033
ENST00000542939.1	0.390902784548556	0.411	0.421	1	-0.00542486089840552
ENST00000380842.4	0.400648080142959	0.053	0	1	-0.000988663656346248
ENST00000490649.1	0.402666732198045	0.091	0	1	-0.00170422293966328
ENST00000232125.9	0.404791278037635	0.04	0	1	-0.000715933900090095
ENST00000526975.1	0.406545452160005	0.138	0	1	-0.000683007341915317
ENST00000569510.5	0.411056064161006	0.074	0	1	0.00101015558787497
ENST00000466801.5	0.413766778988723	0.057	0	1	0.000192300319667765
ENST00000276603.9	0.427447907097221	0	0.101	1	-0.00396949392620356
ENST00000322002.4	0.435504498545558	0.174	0	1	0.00112617136187158
ENST00000307839.9	0.440097525709619	0	0.092	1	-0.00359676598316946
ENST00000361381.2	0.446006663287295	0	0.455	1	0.00279561386465538
ENST00000457540.1	0.448211451930307	0.267	0.144	1	-0.00675062660892254
ENST00000562726.1	0.453013339841422	0.07	0	1	0.000611937644431859
ENST00000312579.3	0.457391442086362	0.123	0	1	0.00201323516309326
ENST00000233143.5	0.458925983974809	0.273	0.21	1	0.00238149689881882
ENST00000639708.2	0.46720184867638	0.195	0.182	1	-0.00455170123355365
ENST00000432899.5	0.472575017995959	0.027	0	1	0.000225364297933778
ENST00000578754.5	0.472575017995959	0.027	0	1	0.00022178788373077
ENST00000274606.7	0.475274214788278	0.225	0	1	-0.00224050091328433
ENST00000392177.8	0.476923233263679	0.106	0	1	-0.000216237565623771
ENST00000521481.5	0.477871220219325	0	0.127	1	-0.00319555811178491
ENST00000586501.1	0.488375681658641	0.191	0	1	-0.000781637379694808
ENST00000636605.1	0.491832354422046	0.277	0	1	-0.00447076026808964
ENST00000354811.5	0.496547757570545	0.04	0	1	0.003427387830362
ENST00000318607.9	0.499321703919345	0.066	0	1	5.78570261799447e-05
